Country Name,Capital,Population,Languages,Currencies
Åland Islands,Mariehamn,30654,Swedish,Euro (€)
Albania,Tirana,2363314,Albanian,Albanian lek (L)
Andorra,Andorra la Vella,88406,Catalan,Euro (€)
Austria,Vienna,9200931,German,Euro (€)
Belarus,Minsk,9109280,Belarusian|Russian,Belarusian ruble (Br)
Belgium,Brussels,11825551,German|French|Dutch,Euro (€)
Bosnia and Herzegovina,Sarajevo,3422000,Bosnian|Croatian|Serbian,Bosnia and Herzegovina convertible mark (KM)
Bulgaria,Sofia,6437360,Bulgarian,Bulgarian lev (лв)
Croatia,Zagreb,3866233,Croatian,Euro (€)
Cyprus,Nicosia,1442614,Greek|Turkish,Euro (€)
Czechia,Prague,10882341,Czech|Slovak,Czech koruna (Kč)
Denmark,Copenhagen,6011488,Danish,Danish krone (kr)
Estonia,Tallinn,1369995,Estonian,Euro (€)
Faroe Islands,Tórshavn,54885,Danish|Faroese,Danish krone (kr)|Faroese króna (kr)
Finland,Helsinki,5650325,Finnish|Swedish,Euro (€)
France,Paris,66351959,French,Euro (€)
Germany,Berlin,83491249,German,Euro (€)
Gibraltar,Gibraltar,38000,English,Gibraltar pound (£)
Greece,Athens,10400720,Greek,Euro (€)
Guernsey,St. Peter Port,64781,English|French|Guernésiais,British pound (£)|Guernsey pound (£)
Hungary,Budapest,9539502,Hungarian,Hungarian forint (Ft)
Iceland,Reykjavik,391810,Icelandic,Icelandic króna (kr)
Ireland,Dublin,5458600,English|Irish,Euro (€)
Isle of Man,Douglas,84530,English|Manx,British pound (£)|Manx pound (£)
Italy,Rome,58927633,Italian|Catalan,Euro (€)
Jersey,Saint Helier,103267,English|French|Jèrriais,British pound (£)|Jersey pound (£)
Kosovo,Pristina,1585566,Albanian|Serbian,Euro (€)
Latvia,Riga,1829000,Latvian,Euro (€)
Liechtenstein,Vaduz,40900,German,Swiss franc (Fr)
Lithuania,Vilnius,2894886,Lithuanian,Euro (€)
Luxembourg,Luxembourg,681973,German|French|Luxembourgish,Euro (€)
Malta,Valletta,574250,English|Maltese,Euro (€)
Moldova,Chișinău,2749076,Romanian,Moldovan leu (L)
Monaco,Monaco,38423,French,Euro (€)
Montenegro,Podgorica,623327,Montenegrin,Euro (€)
Netherlands,Amsterdam,18100436,Dutch,Euro (€)
North Macedonia,Skopje,1822612,Macedonian,Denar (den)
Norway,Oslo,5606944,Norwegian Nynorsk|Norwegian Bokmål|Sami,Norwegian krone (kr)
Poland,Warsaw,37392000,Polish,Polish złoty (zł)
Portugal,Lisbon,10749635,Portuguese,Euro (€)
Romania,Bucharest,19036031,Romanian,Romanian leu (lei)
Russia,Moscow,146028325,Russian,Russian ruble (₽)
San Marino,City of San Marino,34132,Italian,Euro (€)
Serbia,Belgrade,6567783,Serbian,Serbian dinar (дин.)
Slovakia,Bratislava,5413813,Slovak,Euro (€)
Slovenia,Ljubljana,2130638,Slovene,Euro (€)
Spain,Madrid,49315949,Spanish|Catalan|Basque|Galician,Euro (€)
Svalbard and Jan Mayen,Longyearbyen,2530,Norwegian,Krone (kr)
Sweden,Stockholm,10605098,Swedish,Swedish krona (kr)
Switzerland,Bern,9082848,French|Swiss German|Italian|Romansh,Swiss franc (Fr.)
Ukraine,Kyiv,32862000,Ukrainian,Ukrainian hryvnia (₴)
United Kingdom,London,69281437,English,British pound (£)
Vatican City,Vatican City,882,Italian|Latin,Euro (€)
